0;0;0;0;land;false;unknown;0
1;106;211;245;land;true;plains;1
2;217;235;221;land;false;hills;1
3;109;241;243;land;false;plains;1
4;233;241;229;land;false;plains;1
5;148;200;213;land;false;plains;1
6;159;250;200;land;false;hills;1
7;95;193;223;land;false;plains;1
8;176;200;215;land;false;plains;1
9;123;234;231;land;false;marsh;1
10;244;173;219;land;false;plains;1
11;173;213;232;land;true;plains;1
12;244;159;192;land;false;plains;1
13;77;234;192;land;false;plains;1
14;130;226;186;land;false;hills;1
15;237;241;66;land;false;plains;1
16;210;181;188;land;true;plains;1
17;201;135;244;land;true;plains;1
18;210;149;247;land;false;desert;1
19;143;227;223;land;true;hills;1
20;242;111;167;land;false;plains;1
21;226;141;223;land;false;plains;1
22;237;181;111;land;false;plains;1
23;225;228;210;land;false;plains;1
24;81;240;240;land;true;plains;1
25;239;157;112;land;true;mountain;1
26;203;230;198;land;false;mountain;1
27;249;206;138;land;true;mountain;1
28;204;166;207;land;false;plains;1
29;239;211;182;land;true;jungle;1
30;222;183;193;land;false;plains;1
31;201;254;96;land;false;plains;1
32;23;254;229;land;false;plains;1
33;253;252;12;land;false;mountain;1
34;159;166;203;land;false;hills;1
35;152;193;188;land;false;plains;1
36;213;150;149;land;false;hills;1
37;238;228;227;land;false;plains;1
38;253;230;231;land;true;plains;1
39;239;115;149;land;false;plains;1
40;189;174;203;land;false;hills;1
41;132;151;254;land;true;plains;1
42;143;235;215;land;false;hills;1
43;196;61;251;land;false;hills;1
44;141;124;252;land;false;forest;1
45;178;246;219;land;true;hills;1
46;168;170;216;land;false;plains;1
47;225;160;202;land;false;mountain;1
48;251;235;158;land;false;plains;1
49;246;237;135;land;false;plains;1
50;41;249;241;land;false;plains;1
51;242;199;153;land;false;hills;1
52;106;253;242;land;false;plains;1
53;185;206;136;land;false;mountain;1
54;222;240;211;land;false;mountain;1
55;232;180;149;land;false;forest;1
56;245;100;251;land;false;plains;1
57;70;220;218;land;false;mountain;1
58;222;225;181;land;false;plains;1
59;136;169;228;land;false;plains;1
60;174;215;168;land;true;plains;1
61;205;176;163;land;false;plains;1
62;227;167;126;land;true;plains;1
63;239;231;239;land;false;plains;1
64;202;182;231;land;false;plains;1
65;228;229;122;land;false;hills;1
66;186;222;217;land;false;plains;1
67;208;247;232;land;false;plains;1
68;185;160;173;land;false;hills;1
69;248;239;76;land;false;mountain;1
70;188;201;116;land;false;plains;1
71;229;104;195;land;false;plains;1
72;211;73;234;land;false;plains;1
73;151;157;246;land;false;plains;1
74;235;234;228;land;false;plains;1
75;251;91;161;land;false;plains;1
76;138;196;216;land;false;plains;1
77;250;170;210;land;true;forest;1
78;249;154;120;land;true;jungle;1
79;209;89;225;land;false;plains;1
80;253;250;32;land;false;plains;1
81;232;171;109;land;false;plains;1
82;248;180;79;land;false;plains;1
83;247;251;67;land;false;plains;1
84;244;176;240;land;true;plains;1
85;167;161;227;land;false;mountain;1
86;245;59;246;land;false;hills;1
87;200;179;123;land;true;plains;1
88;69;254;179;land;false;mountain;1
89;220;227;138;land;true;plains;1
90;196;113;231;land;false;plains;1
91;222;208;228;land;false;plains;1
92;213;247;166;land;false;plains;1
93;111;196;238;land;false;plains;1
94;249;99;220;land;false;plains;1
95;174;170;237;land;false;plains;1
96;196;216;197;land;true;plains;1
97;182;166;248;land;false;plains;1
98;20;238;243;land;false;plains;1
99;240;229;122;land;false;plains;1
100;200;210;190;land;false;plains;1
101;161;209;157;land;false;plains;1
102;254;88;228;land;false;plains;1
103;218;236;210;land;false;hills;1
104;152;194;251;land;false;plains;1
105;235;157;163;land;false;plains;1
106;192;220;219;land;false;mountain;1
107;194;218;145;land;false;forest;1
108;154;183;166;land;false;plains;1
109;222;236;222;land;false;mountain;1
110;196;205;200;land;false;plains;1
111;244;203;166;land;false;plains;1
112;203;205;146;land;false;plains;1
113;181;230;139;land;true;plains;1
114;176;251;97;land;false;plains;1
115;125;218;191;land;true;plains;1
116;135;201;183;land;false;plains;1
117;196;222;218;land;false;plains;1
118;206;171;222;land;false;mountain;1
119;183;246;197;land;false;hills;1
120;171;125;252;land;false;plains;1
121;115;166;248;land;true;hills;1
122;199;214;200;land;false;plains;1
123;235;250;61;land;true;plains;1
124;250;160;154;land;false;plains;1
125;235;249;129;land;false;plains;1
126;236;156;240;land;false;plains;1
127;226;125;223;land;false;plains;1
128;253;203;163;land;false;plains;1
129;127;237;164;land;false;plains;1
130;194;235;121;land;false;plains;1
131;72;225;223;land;false;plains;1
132;189;236;121;land;false;plains;1
133;127;195;252;land;false;plains;1
134;165;248;245;land;false;plains;1
135;252;113;235;land;false;plains;1
136;148;194;233;land;false;plains;1
137;235;244;197;land;false;plains;1
138;216;149;181;land;false;mountain;1
139;222;172;164;land;true;desert;1
140;129;135;248;land;false;plains;1
141;194;228;177;land;false;plains;1
142;125;232;214;land;false;plains;1
143;100;189;230;land;true;plains;1
144;235;238;147;land;true;plains;1
145;220;250;206;land;false;hills;1
146;79;206;221;land;false;plains;1
147;228;185;244;land;false;plains;1
148;249;180;249;land;false;desert;1
149;126;180;247;land;true;plains;1
150;68;227;226;land;false;hills;1
151;208;98;216;land;true;plains;1
152;243;226;219;land;false;hills;1
153;224;102;216;land;false;plains;1
154;56;214;244;land;true;plains;1
155;254;248;167;land;false;mountain;1
156;234;153;210;land;false;mountain;1
157;200;112;216;land;false;plains;1
158;228;151;166;land;false;hills;1
159;80;229;217;land;false;plains;1
160;175;238;217;land;false;mountain;1
161;131;245;235;land;false;hills;1
162;123;238;154;land;false;plains;1
163;211;227;252;land;false;plains;1
164;247;64;195;land;false;plains;1
165;254;164;181;land;false;plains;1
166;234;135;252;land;true;forest;1
167;210;112;206;land;false;marsh;1
168;185;177;141;land;false;hills;1
169;243;160;194;land;false;desert;1
170;214;238;210;land;false;plains;1
171;187;144;178;land;false;hills;1
172;212;134;190;land;false;plains;1
173;79;238;190;land;false;plains;1
174;152;233;125;land;false;plains;1
175;223;238;112;land;false;forest;1
176;215;165;125;land;false;plains;1
177;185;138;251;land;false;forest;1
178;187;216;223;land;false;plains;1
179;227;195;248;land;true;plains;1
180;167;186;187;land;true;forest;1
181;186;159;187;land;false;plains;1
182;185;145;226;land;true;plains;1
183;220;142;154;land;true;mountain;1
184;148;237;121;land;true;plains;1
185;196;227;176;land;false;plains;1
186;190;243;93;land;false;plains;1
187;162;247;201;land;false;forest;1
188;170;183;172;land;false;plains;1
189;65;214;228;land;true;hills;1
190;66;198;252;land;false;plains;1
191;245;195;111;land;false;mountain;1
192;112;192;239;land;false;plains;1
193;173;240;234;land;false;plains;1
194;240;78;216;land;true;plains;1
195;214;126;234;land;false;plains;1
196;139;152;215;land;true;plains;1
197;205;235;225;land;false;plains;1
198;234;75;214;land;false;plains;1
199;248;199;136;land;false;hills;1
200;143;242;177;land;false;plains;1
201;172;252;196;land;false;plains;1
202;165;244;165;land;false;plains;1
203;229;209;102;land;false;hills;1
204;199;226;103;land;false;desert;1
