1;3709.00;10.12;1142.00;big
1;974.00;10.65;1197.00;big
35;4527.00;14.70;793.00;big
35;4582.00;10.95;753.00;big
36;4471.00;13.10;765.00;big
36;4416.00;11.60;726.00;big
37;1530.00;9.50;911.00;big
37;4103.00;9.50;620.00;big
42;5332.00;9.50;1094.00;big
42;5472.00;9.50;1132.00;big
43;4328.00;9.50;754.00;big
43;4363.00;9.50;702.00;big
44;4287.00;9.50;901.00;big
44;4166.00;9.50;827.00;big
45;4300.00;9.50;560.00;big
45;4265.00;9.50;692.00;big
46;4594.00;9.50;681.00;big
46;4435.00;9.50;650.00;big
47;4820.00;9.50;517.00;big
47;4614.00;9.50;544.00;big
48;4756.00;9.50;379.00;big
48;4755.00;9.50;297.00;big
49;4583.00;9.50;217.00;big
49;4686.00;9.50;303.00;big
50;4370.00;11.60;512.00;big
50;4459.00;9.50;420.00;big
51;4274.00;9.50;316.00;big
51;4429.00;9.50;177.00;big
52;4146.00;9.50;533.00;big
52;4193.00;9.50;435.00;big
53;3989.00;9.50;1252.00;big
53;3898.00;9.50;1227.00;big
54;4319.00;10.30;694.00;big
54;4289.00;10.48;785.00;big
55;5313.00;9.50;802.00;big
55;5290.00;9.50;904.00;big
56;5101.00;9.50;934.00;big
56;5036.00;9.50;863.00;big
57;4894.00;9.50;782.00;big
57;5013.00;9.50;792.00;big
60;4895.00;9.50;658.00;big
60;4758.00;9.50;693.00;big
63;4082.00;9.50;695.00;big
63;4008.00;9.50;758.00;big
64;3915.00;9.50;649.00;big
64;3878.00;9.50;740.00;big
65;3808.00;9.50;920.00;big
65;3866.00;9.50;854.00;big
66;3826.00;9.50;1092.00;big
66;3856.00;9.50;993.00;big
67;4381.00;10.30;802.00;big
67;4330.00;11.18;836.00;big
68;4486.00;11.75;853.00;big
68;4425.00;11.45;840.00;big
